run_id,order_type,step,step_label,class_id,class,accuracy,top5_accuracy,mean_margin,median_margin,mean_true_logit,mean_true_feature_dot,mean_true_bias,mean_best_other_logit,mean_top1_confidence
vehicles1_official_seed1_k5,official,0,baseline,8,腳踏車 / bicycle (8),83.0,97.0,5.76100152015686,6.392043590545654,13.579465341567992,13.583501362800598,-0.00403631804510951,7.818463821411132,0.8960924282670021
vehicles1_official_seed1_k5,official,0,baseline,13,公車 / bus (13),67.0,92.0,2.3653265500068663,2.9466640949249268,11.984339636564254,11.981200160980224,0.0031394213438034058,9.619013094902039,0.8336753620952367
vehicles1_official_seed1_k5,official,0,baseline,48,摩托車 / motorcycle (48),91.0,100.0,7.44145742893219,7.708004474639893,15.648133172988892,15.64811089515686,2.2327791157294996e-05,8.206675763130187,0.9409074309468269
vehicles1_official_seed1_k5,official,0,baseline,58,皮卡車 / pickup_truck (58),85.0,96.0,4.52302011013031,4.887577533721924,14.112672863006592,14.105915668010711,0.006757241673767567,9.589652762413024,0.897131145298481
vehicles1_official_seed1_k5,official,0,baseline,90,火車 / train (90),85.0,95.0,4.896641216278076,4.971958637237549,12.984608628451824,12.98678312420845,-0.0021747646387666464,8.087967429161072,0.8788826923072338
vehicles1_official_seed1_k5,official,1,step1,8,腳踏車 / bicycle (8),0.0,35.0,-2.3505753588676455,-2.0524911880493164,4.3001360478997235,4.308505955338478,-0.008369938470423222,6.650711407661438,0.34993037179112435
vehicles1_official_seed1_k5,official,1,step1,13,公車 / bus (13),66.0,92.0,2.192359149456024,2.3749821186065674,11.611892244815827,11.608752599060535,0.0031394213438034058,9.419533107280731,0.8215080587565899
vehicles1_official_seed1_k5,official,1,step1,48,摩托車 / motorcycle (48),91.0,99.0,6.956493356227875,7.439830303192139,13.147808673381805,13.146753115653992,0.0010554841719567776,6.191315326690674,0.913052632510662
vehicles1_official_seed1_k5,official,1,step1,58,皮卡車 / pickup_truck (58),86.0,96.0,4.726576545238495,5.0843987464904785,13.99003833413124,13.983280973434448,0.006757241673767567,9.263461785316467,0.9009704595804214
vehicles1_official_seed1_k5,official,1,step1,90,火車 / train (90),82.0,96.0,5.057780182361602,4.948357343673706,13.053089753687381,13.05526419699192,-0.0021747646387666464,7.995309553146362,0.8862487389147282
vehicles1_official_seed1_k5,official,2,step2,8,腳踏車 / bicycle (8),22.0,71.0,-2.0264793014526368,-1.454964280128479,4.34633773162961,4.354707630574703,-0.008369938470423222,6.37281703710556,0.4143165553361177
vehicles1_official_seed1_k5,official,2,step2,13,公車 / bus (13),0.0,0.0,-6.864497842788697,-6.817888975143433,0.2697476264834404,0.2748193669319153,-0.005071706138551235,7.134245471954346,0.42237895272672177
vehicles1_official_seed1_k5,official,2,step2,48,摩托車 / motorcycle (48),93.0,99.0,7.706056437492371,8.001638174057007,14.202226533889771,14.202421817779541,-0.00019549819990061224,6.4961701059341435,0.9214282585680484
vehicles1_official_seed1_k5,official,2,step2,58,皮卡車 / pickup_truck (58),90.0,96.0,4.8179576873779295,4.7211949825286865,11.545824503302574,11.538506227731705,0.0073180594481527805,6.727866811752319,0.8638822630047798
vehicles1_official_seed1_k5,official,2,step2,90,火車 / train (90),81.0,94.0,4.56956294298172,4.414955377578735,11.824823964834213,11.827985635995866,-0.0031614587642252445,7.2552610111236575,0.8464537309855222
vehicles1_official_seed1_k5,official,3,step3,8,腳踏車 / bicycle (8),29.0,85.0,-0.9211202144622803,-0.46858978271484375,5.869808949828148,5.875921065211296,-0.006112175062298775,6.790929162502289,0.3154815784096718
vehicles1_official_seed1_k5,official,3,step3,13,公車 / bus (13),0.0,0.0,-6.732005939483643,-6.451019048690796,0.8399012791365386,0.8449729950726033,-0.005071706138551235,7.57190723657608,0.5697553499042988
vehicles1_official_seed1_k5,official,3,step3,48,摩托車 / motorcycle (48),0.0,0.0,-9.315895895957947,-9.246248722076416,-1.4988219552487134,-1.4926426424086094,-0.0061793578788638115,7.817073931694031,0.24199587255716323
vehicles1_official_seed1_k5,official,3,step3,58,皮卡車 / pickup_truck (58),88.0,94.0,5.419863877296447,6.101728916168213,12.387699031829834,12.381010568141937,0.006688467692583799,6.967835144996643,0.9164000576734543
vehicles1_official_seed1_k5,official,3,step3,90,火車 / train (90),84.0,96.0,4.718612337112427,4.552488565444946,12.15449874907732,12.157660324573516,-0.0031614587642252445,7.435886418819427,0.8540538337826729
vehicles1_official_seed1_k5,official,4,step4,8,腳踏車 / bicycle (8),41.0,82.0,-1.059092001914978,-0.4334888458251953,4.942747214473784,4.946558108925819,-0.003810812719166279,6.001839215755463,0.3673063026368618
vehicles1_official_seed1_k5,official,4,step4,13,公車 / bus (13),0.0,0.0,-6.369383184909821,-5.971180200576782,1.0167111181560904,1.02178281635046,-0.005071706138551235,7.38609432220459,0.3924543817341328
vehicles1_official_seed1_k5,official,4,step4,48,摩托車 / motorcycle (48),0.0,0.0,-6.526542942523957,-6.460814714431763,0.43977552285417915,0.44595489352941514,-0.0061793578788638115,6.9663184547424315,0.2889455409348011
vehicles1_official_seed1_k5,official,4,step4,58,皮卡車 / pickup_truck (58),0.0,0.0,-7.899157190322876,-7.942672491073608,-0.4392985579930246,-0.4405086524784565,0.0012100960593670607,7.459858613014221,0.2630811530351639
vehicles1_official_seed1_k5,official,4,step4,90,火車 / train (90),84.0,96.0,4.697048921585083,4.3918116092681885,12.075018244981766,12.078104922771454,-0.0030866479501128197,7.377969286441803,0.8549654507637023
vehicles1_official_seed1_k5,official,5,step5,8,腳踏車 / bicycle (8),43.0,79.0,-0.9355752038955688,-0.28899621963500977,4.682552082128823,4.682306497991085,0.0002456504153087735,5.618127291202545,0.3943182218074799
vehicles1_official_seed1_k5,official,5,step5,13,公車 / bus (13),0.0,0.0,-6.746788794994354,-6.358348846435547,1.1138934108614922,1.1189651097357274,-0.005071706138551235,7.860682175159455,0.45602195367217063
vehicles1_official_seed1_k5,official,5,step5,48,摩托車 / motorcycle (48),0.0,3.0,-4.691500403881073,-4.44381046295166,1.9287317688018084,1.9349110859632492,-0.0061793578788638115,6.620232157707214,0.3672474675625563
vehicles1_official_seed1_k5,official,5,step5,58,皮卡車 / pickup_truck (58),0.0,0.0,-5.731450407505036,-5.513146877288818,1.1064806654211135,1.1052705237269402,0.0012100960593670607,6.8379310870170595,0.35351395793259144
vehicles1_official_seed1_k5,official,5,step5,90,火車 / train (90),0.0,0.0,-8.143170614242553,-7.874913454055786,-1.037899460811168,-1.0271635639667511,-0.010735887102782726,7.105271165370941,0.3067605575919151
vehicles1_random_seed1_k5,random,0,baseline,8,腳踏車 / bicycle (8),83.0,97.0,5.76100152015686,6.392043590545654,13.579465341567992,13.583501362800598,-0.00403631804510951,7.818463821411132,0.8960924282670021
vehicles1_random_seed1_k5,random,0,baseline,13,公車 / bus (13),67.0,92.0,2.3653265500068663,2.9466640949249268,11.984339636564254,11.981200160980224,0.0031394213438034058,9.619013094902039,0.8336753620952367
vehicles1_random_seed1_k5,random,0,baseline,48,摩托車 / motorcycle (48),91.0,100.0,7.44145742893219,7.708004474639893,15.648133172988892,15.64811089515686,2.2327791157294996e-05,8.206675763130187,0.9409074309468269
vehicles1_random_seed1_k5,random,0,baseline,58,皮卡車 / pickup_truck (58),85.0,96.0,4.52302011013031,4.887577533721924,14.112672863006592,14.105915668010711,0.006757241673767567,9.589652762413024,0.897131145298481
vehicles1_random_seed1_k5,random,0,baseline,90,火車 / train (90),85.0,95.0,4.896641216278076,4.971958637237549,12.984608628451824,12.98678312420845,-0.0021747646387666464,8.087967429161072,0.8788826923072338
vehicles1_random_seed1_k5,random,1,step1,8,腳踏車 / bicycle (8),84.0,97.0,4.963591728210449,5.5103068351745605,10.946894153356553,10.94690843462944,-1.4406031368707772e-05,5.983302414417267,0.8567066766321659
vehicles1_random_seed1_k5,random,1,step1,13,公車 / bus (13),65.0,91.0,2.0436633157730104,2.3401334285736084,11.352086763307453,11.349319065213203,0.00276795681566,9.308423454761504,0.8189849077165127
vehicles1_random_seed1_k5,random,1,step1,48,摩托車 / motorcycle (48),0.0,0.0,-8.563414063453674,-8.42447566986084,-1.55867983430624,-1.5517025846242904,-0.0069772531278431416,7.004734220504761,0.3098718582093716
vehicles1_random_seed1_k5,random,1,step1,58,皮卡車 / pickup_truck (58),87.0,95.0,4.341668448448181,4.871848106384277,13.004820387363434,12.998063576221465,0.006757241673767567,8.66315194606781,0.8944184288382531
vehicles1_random_seed1_k5,random,1,step1,90,火車 / train (90),84.0,96.0,4.7175140285491945,4.2447896003723145,12.709962462484837,12.712137036323547,-0.0021747646387666464,7.9924483966827395,0.8748403504490853
vehicles1_random_seed1_k5,random,2,step2,8,腳踏車 / bicycle (8),2.0,34.0,-1.8404255247116088,-1.6321675777435303,5.567609546184539,5.5711167478561405,-0.00350704463198781,7.408035063743592,0.31525998264551164
vehicles1_random_seed1_k5,random,2,step2,13,公車 / bus (13),65.0,92.0,2.025174980163574,2.2375141382217407,11.528390255942941,11.525622642934323,0.00276795681566,9.50321528673172,0.8204851502180099
vehicles1_random_seed1_k5,random,2,step2,48,摩托車 / motorcycle (48),0.0,0.0,-6.830482783317566,-6.603395223617554,0.18700932032894343,0.19398657187819482,-0.0069772531278431416,7.01749210357666,0.3059453158080578
vehicles1_random_seed1_k5,random,2,step2,58,皮卡車 / pickup_truck (58),87.0,95.0,4.413681411743164,4.7127954959869385,13.582769004106522,13.576011828184129,0.006757241673767567,9.16908757686615,0.892583723962307
vehicles1_random_seed1_k5,random,2,step2,90,火車 / train (90),85.0,95.0,4.8465318632125856,4.783284664154053,12.920626960396767,12.922801223397254,-0.0021747646387666464,8.074095089435577,0.8810518844425679
