run_id,order_type,step,new_class_id,new_class,forgotten_classes,forget_accuracy,UA,retain_accuracy,full_test_accuracy,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy,class_10_accuracy,class_11_accuracy,class_12_accuracy,class_13_accuracy,class_14_accuracy,class_15_accuracy,class_16_accuracy,class_17_accuracy,class_18_accuracy,class_19_accuracy,class_20_accuracy,class_21_accuracy,class_22_accuracy,class_23_accuracy,class_24_accuracy,class_25_accuracy,class_26_accuracy,class_27_accuracy,class_28_accuracy,class_29_accuracy,class_30_accuracy,class_31_accuracy,class_32_accuracy,class_33_accuracy,class_34_accuracy,class_35_accuracy,class_36_accuracy,class_37_accuracy,class_38_accuracy,class_39_accuracy,class_40_accuracy,class_41_accuracy,class_42_accuracy,class_43_accuracy,class_44_accuracy,class_45_accuracy,class_46_accuracy,class_47_accuracy,class_48_accuracy,class_49_accuracy,class_50_accuracy,class_51_accuracy,class_52_accuracy,class_53_accuracy,class_54_accuracy,class_55_accuracy,class_56_accuracy,class_57_accuracy,class_58_accuracy,class_59_accuracy,class_60_accuracy,class_61_accuracy,class_62_accuracy,class_63_accuracy,class_64_accuracy,class_65_accuracy,class_66_accuracy,class_67_accuracy,class_68_accuracy,class_69_accuracy,class_70_accuracy,class_71_accuracy,class_72_accuracy,class_73_accuracy,class_74_accuracy,class_75_accuracy,class_76_accuracy,class_77_accuracy,class_78_accuracy,class_79_accuracy,class_80_accuracy,class_81_accuracy,class_82_accuracy,class_83_accuracy,class_84_accuracy,class_85_accuracy,class_86_accuracy,class_87_accuracy,class_88_accuracy,class_89_accuracy,class_90_accuracy,class_91_accuracy,class_92_accuracy,class_93_accuracy,class_94_accuracy,class_95_accuracy,class_96_accuracy,class_97_accuracy,class_98_accuracy,class_99_accuracy
four_coarse_clustered_seed1_k20,clustered,11,15,駱駝 / camel (15),"8,13,48,58,90,23,33,49,60,71,15",4.636363636363637,95.36363636363636,69.5505617977528,62.41,89.0,79.0,60.0,55.0,63.0,70.0,79.0,73.0,41.0,80.0,46.0,45.0,80.0,1.0,60.0,0.0,78.0,81.0,59.0,67.0,86.0,86.0,69.0,0.0,78.0,58.0,61.0,53.0,77.0,62.0,70.0,63.0,63.0,0.0,74.0,49.0,79.0,78.0,65.0,78.0,63.0,89.0,75.0,84.0,50.0,63.0,50.0,68.0,9.0,0.0,51.0,70.0,66.0,88.0,77.0,46.0,87.0,80.0,0.0,70.0,0.0,69.0,82.0,69.0,53.0,57.0,77.0,56.0,95.0,76.0,69.0,0.0,40.0,58.0,49.0,85.0,89.0,66.0,62.0,71.0,54.0,88.0,91.0,69.0,70.0,77.0,65.0,80.0,77.0,88.0,0.0,76.0,62.0,55.0,91.0,74.0,63.0,76.0,51.0,70.0
four_coarse_clustered_seed1_k20,clustered,12,19,牛 / cattle (19),"8,13,48,58,90,23,33,49,60,71,15,19",3.6666666666666665,96.33333333333333,69.9659090909091,62.01,90.0,80.0,62.0,55.0,64.0,73.0,79.0,76.0,35.0,76.0,45.0,49.0,81.0,0.0,54.0,0.0,80.0,84.0,62.0,0.0,86.0,86.0,68.0,0.0,78.0,59.0,62.0,56.0,77.0,65.0,72.0,69.0,65.0,0.0,73.0,48.0,79.0,78.0,66.0,80.0,62.0,89.0,75.0,84.0,48.0,59.0,48.0,65.0,8.0,0.0,53.0,71.0,68.0,88.0,80.0,45.0,86.0,81.0,0.0,71.0,0.0,67.0,80.0,70.0,51.0,57.0,78.0,57.0,96.0,81.0,68.0,0.0,39.0,60.0,51.0,87.0,89.0,64.0,61.0,71.0,58.0,85.0,92.0,69.0,69.0,75.0,64.0,80.0,79.0,88.0,1.0,76.0,62.0,56.0,92.0,74.0,69.0,74.0,49.0,69.0
four_coarse_clustered_seed1_k20,clustered,13,21,黑猩猩 / chimpanzee (21),"8,13,48,58,90,23,33,49,60,71,15,19,21",3.076923076923077,96.92307692307692,70.16091954022988,61.44,90.0,82.0,64.0,58.0,60.0,75.0,81.0,72.0,31.0,81.0,47.0,48.0,81.0,0.0,54.0,0.0,79.0,83.0,62.0,0.0,87.0,0.0,69.0,0.0,79.0,56.0,64.0,57.0,77.0,69.0,70.0,72.0,62.0,0.0,75.0,45.0,81.0,79.0,65.0,80.0,62.0,89.0,77.0,88.0,48.0,63.0,47.0,66.0,9.0,0.0,54.0,71.0,67.0,89.0,82.0,41.0,88.0,78.0,0.0,73.0,0.0,69.0,81.0,69.0,51.0,61.0,80.0,56.0,97.0,79.0,69.0,0.0,40.0,59.0,52.0,89.0,90.0,63.0,60.0,70.0,55.0,86.0,92.0,70.0,70.0,77.0,65.0,81.0,79.0,87.0,0.0,79.0,61.0,53.0,92.0,72.0,65.0,74.0,54.0,70.0
four_coarse_clustered_seed1_k20,clustered,14,31,大象 / elephant (31),"8,13,48,58,90,23,33,49,60,71,15,19,21,31",3.2857142857142856,96.71428571428571,70.02325581395348,60.68,88.0,81.0,61.0,61.0,61.0,73.0,83.0,75.0,32.0,77.0,44.0,49.0,81.0,0.0,53.0,0.0,76.0,83.0,62.0,0.0,86.0,0.0,65.0,0.0,80.0,62.0,61.0,53.0,76.0,67.0,72.0,0.0,63.0,0.0,77.0,47.0,80.0,79.0,63.0,83.0,65.0,88.0,74.0,87.0,45.0,65.0,49.0,64.0,13.0,1.0,53.0,70.0,68.0,88.0,82.0,41.0,86.0,79.0,0.0,71.0,0.0,66.0,82.0,73.0,54.0,57.0,81.0,56.0,97.0,81.0,69.0,0.0,44.0,57.0,50.0,90.0,88.0,61.0,63.0,72.0,59.0,85.0,91.0,66.0,69.0,81.0,66.0,81.0,79.0,87.0,0.0,77.0,60.0,52.0,91.0,72.0,68.0,77.0,52.0,71.0
four_coarse_clustered_seed1_k20,clustered,15,38,袋鼠 / kangaroo (38),"8,13,48,58,90,23,33,49,60,71,15,19,21,31,38",3.8666666666666667,96.13333333333334,70.07058823529412,60.14,89.0,80.0,58.0,59.0,63.0,72.0,83.0,73.0,41.0,79.0,44.0,50.0,81.0,0.0,54.0,0.0,74.0,84.0,65.0,0.0,86.0,1.0,66.0,0.0,80.0,57.0,63.0,50.0,76.0,65.0,71.0,0.0,61.0,0.0,79.0,47.0,81.0,78.0,0.0,82.0,64.0,90.0,71.0,85.0,45.0,63.0,50.0,66.0,10.0,4.0,53.0,71.0,67.0,88.0,83.0,47.0,88.0,78.0,0.0,70.0,0.0,69.0,81.0,70.0,57.0,56.0,81.0,53.0,97.0,83.0,69.0,0.0,48.0,62.0,48.0,91.0,88.0,66.0,61.0,70.0,53.0,87.0,92.0,67.0,69.0,78.0,66.0,80.0,79.0,87.0,2.0,77.0,61.0,54.0,91.0,73.0,65.0,74.0,53.0,71.0
four_coarse_clustered_seed1_k20,clustered,16,12,橋 / bridge (12),"8,13,48,58,90,23,33,49,60,71,15,19,21,31,38,12",4.25,95.75,69.97619047619048,59.46,90.0,79.0,63.0,57.0,60.0,74.0,79.0,72.0,44.0,78.0,46.0,48.0,0.0,0.0,58.0,0.0,73.0,83.0,64.0,0.0,87.0,2.0,64.0,0.0,80.0,57.0,63.0,54.0,76.0,66.0,71.0,0.0,60.0,0.0,77.0,47.0,82.0,79.0,0.0,84.0,65.0,90.0,71.0,85.0,52.0,65.0,48.0,63.0,16.0,2.0,57.0,72.0,67.0,90.0,81.0,39.0,89.0,79.0,2.0,73.0,0.0,65.0,80.0,66.0,58.0,59.0,79.0,55.0,96.0,81.0,70.0,0.0,44.0,58.0,49.0,90.0,88.0,62.0,63.0,72.0,52.0,87.0,92.0,69.0,67.0,82.0,67.0,78.0,79.0,86.0,2.0,77.0,63.0,57.0,91.0,73.0,66.0,79.0,49.0,72.0
four_coarse_clustered_seed1_k20,clustered,17,17,城堡 / castle (17),"8,13,48,58,90,23,33,49,60,71,15,19,21,31,38,12,17",3.0,97.0,70.18072289156626,58.76,90.0,83.0,61.0,57.0,63.0,77.0,79.0,73.0,31.0,77.0,47.0,51.0,0.0,0.0,58.0,0.0,74.0,0.0,63.0,0.0,87.0,4.0,65.0,0.0,78.0,56.0,64.0,54.0,74.0,69.0,70.0,0.0,62.0,0.0,79.0,47.0,82.0,77.0,0.0,83.0,62.0,89.0,73.0,86.0,50.0,63.0,48.0,64.0,13.0,1.0,55.0,70.0,66.0,89.0,82.0,45.0,88.0,80.0,1.0,73.0,0.0,66.0,81.0,65.0,55.0,59.0,82.0,55.0,96.0,79.0,72.0,0.0,49.0,61.0,50.0,89.0,90.0,63.0,63.0,75.0,57.0,84.0,93.0,69.0,67.0,80.0,69.0,80.0,80.0,89.0,1.0,77.0,59.0,56.0,91.0,73.0,68.0,79.0,49.0,72.0
four_coarse_clustered_seed1_k20,clustered,18,37,房子 / house (37),"8,13,48,58,90,23,33,49,60,71,15,19,21,31,38,12,17,37",3.611111111111111,96.38888888888889,70.03658536585365,58.08,90.0,81.0,60.0,62.0,62.0,77.0,80.0,73.0,39.0,82.0,44.0,47.0,0.0,0.0,60.0,0.0,76.0,0.0,64.0,0.0,86.0,6.0,66.0,0.0,78.0,59.0,61.0,55.0,74.0,65.0,72.0,0.0,63.0,0.0,79.0,47.0,82.0,0.0,0.0,82.0,65.0,88.0,75.0,84.0,49.0,63.0,49.0,67.0,12.0,0.0,55.0,67.0,67.0,89.0,82.0,41.0,85.0,79.0,2.0,73.0,0.0,66.0,81.0,66.0,56.0,57.0,81.0,53.0,97.0,82.0,70.0,5.0,42.0,61.0,50.0,91.0,91.0,65.0,63.0,76.0,59.0,89.0,89.0,70.0,67.0,80.0,67.0,80.0,76.0,88.0,1.0,76.0,62.0,55.0,93.0,73.0,68.0,80.0,49.0,69.0
four_coarse_clustered_seed1_k20,clustered,19,68,道路 / road (68),"8,13,48,58,90,23,33,49,60,71,15,19,21,31,38,12,17,37,68",3.5789473684210527,96.42105263157895,68.25925925925925,55.97,91.0,82.0,57.0,53.0,67.0,72.0,80.0,75.0,38.0,76.0,41.0,51.0,0.0,0.0,55.0,0.0,73.0,0.0,66.0,0.0,82.0,8.0,60.0,0.0,79.0,50.0,64.0,53.0,76.0,63.0,61.0,1.0,59.0,0.0,81.0,52.0,78.0,0.0,0.0,79.0,64.0,87.0,78.0,78.0,43.0,57.0,52.0,65.0,15.0,1.0,62.0,72.0,59.0,89.0,75.0,50.0,89.0,73.0,2.0,77.0,0.0,72.0,78.0,70.0,46.0,55.0,82.0,52.0,0.0,84.0,70.0,3.0,28.0,61.0,49.0,87.0,90.0,66.0,62.0,82.0,60.0,91.0,90.0,65.0,64.0,78.0,71.0,79.0,79.0,89.0,0.0,75.0,54.0,48.0,85.0,68.0,59.0,76.0,46.0,72.0
four_coarse_clustered_seed1_k20,clustered,20,76,摩天大樓 / skyscraper (76),"8,13,48,58,90,23,33,49,60,71,15,19,21,31,38,12,17,37,68,76",3.15,96.85,69.925,56.57,90.0,85.0,61.0,61.0,64.0,76.0,80.0,76.0,23.0,84.0,44.0,46.0,0.0,0.0,59.0,0.0,78.0,0.0,68.0,2.0,87.0,15.0,67.0,1.0,79.0,59.0,56.0,57.0,73.0,69.0,70.0,0.0,64.0,0.0,77.0,49.0,83.0,1.0,0.0,82.0,65.0,89.0,76.0,85.0,46.0,65.0,51.0,64.0,16.0,0.0,58.0,69.0,62.0,89.0,82.0,45.0,90.0,79.0,2.0,76.0,0.0,69.0,79.0,69.0,56.0,59.0,81.0,55.0,0.0,82.0,72.0,2.0,42.0,57.0,49.0,89.0,0.0,66.0,58.0,75.0,60.0,93.0,91.0,69.0,71.0,81.0,67.0,81.0,76.0,88.0,1.0,77.0,58.0,55.0,93.0,75.0,67.0,79.0,48.0,72.0
